#{"t_start": 1776806551.9769068, "env_id": "Reacher-v5"}
r,l,t
-19.45025,50,1216.214243
-15.466459,50,1221.669688
-12.690401,50,1227.323817
-7.817975,50,1232.777323
-13.751312,50,1238.607378
-10.03265,50,1244.282626
-9.365307,50,1249.689092
-12.890879,50,1255.264835
-11.034803,50,1260.754627
-13.015671,50,1266.560657
-8.0889,50,1271.921185
-15.78271,50,1277.511939
-15.675469,50,1283.683902
-11.601249,50,1289.51144
-10.164696,50,1295.255388
-17.27516,50,1300.764448
-9.722649,50,1306.329072
-9.017713,50,1311.944501
-6.490604,50,1317.595761
-11.329486,50,1323.486692
-8.413002,50,1329.502676
-11.914402,50,1335.428744
-15.3348,50,1341.087361
-11.73599,50,1347.565631
-13.762156,50,1353.480309
-17.06438,50,1359.237484
-12.184323,50,1364.642458
-18.766173,50,1370.464622
-19.671966,50,1376.179219
-13.114867,50,1381.927484
-13.259096,50,1387.847054
-17.393762,50,1393.73005
-11.803722,50,1399.737237
-12.720363,50,1405.115008
-18.159774,50,1411.059315
-9.725119,50,1417.183731
-10.079316,50,1423.149031
-13.107746,50,1429.590812
-11.096668,50,1435.499549
-14.536985,50,1441.630642
-12.807286,50,1447.823268
-12.017105,50,1453.771402
-10.432292,50,1460.74494
-12.543948,50,1466.995451
-11.26055,50,1473.51729
-11.344459,50,1480.794262
-9.566757,50,1487.54138
-9.317505,50,1493.856236
-12.949345,50,1500.094441
-19.780934,50,1507.071587
-15.522669,50,1518.108899
-8.397431,50,1524.438072
-9.420787,50,1530.620742
-13.427434,50,1536.631734
-8.597481,50,1543.403828
-13.75604,50,1549.791916
-16.029999,50,1556.136409
-12.185617,50,1561.893674
-10.357773,50,1567.72231
-14.108242,50,1573.67912
-16.538712,50,1579.92535
-11.41566,50,1585.844407
-8.192869,50,1591.867269
-10.273965,50,1598.082985
-14.728286,50,1604.550189
-10.183102,50,1610.524043
-10.637479,50,1617.479833
-9.701621,50,1623.586372
-14.026547,50,1629.629187
-14.349352,50,1635.612442
-11.303177,50,1641.472641
-14.490904,50,1647.338957
-18.611812,50,1653.148942
-11.105875,50,1659.252205
-13.945084,50,1665.196452
-6.917641,50,1671.520596
-11.302842,50,1677.361824
-8.922038,50,1683.422685
-5.12024,50,1689.608461
-10.978819,50,1696.204335
-13.704413,50,1702.549472
-7.977901,50,1708.187433
-10.697586,50,1713.976006
-9.722292,50,1720.08901
-14.904466,50,1725.933437
-13.652123,50,1731.801738
-8.86857,50,1737.541091
-9.051588,50,1743.191954
-15.386914,50,1749.071431
-11.582182,50,1755.435735
-10.531061,50,1761.398776
-11.808945,50,1767.305037
-9.700037,50,1773.425124
-12.757564,50,1779.364348
-12.755607,50,1785.281308
-15.011861,50,1791.719423
-10.812546,50,1797.684096
-12.320833,50,1803.419022
-16.46307,50,1809.258892
-13.840806,50,1815.739051
-8.73404,50,1822.268384
-9.100943,50,1827.95959
-8.402072,50,1833.634217
-11.924941,50,1840.192838
-14.283815,50,1846.776205
-11.398913,50,1852.57009
-9.613249,50,1858.305175
-11.029341,50,1864.90283
-11.909779,50,1872.739425
-7.676067,50,1879.094638
-15.288988,50,1886.295184
-11.072291,50,1892.5291
-11.305528,50,1898.973803
-10.267763,50,1905.195715
-12.186111,50,1911.154782
-8.561352,50,1917.110784
-10.240921,50,1922.995509
-14.129973,50,1929.413777
-15.399438,50,1935.636412
-17.832612,50,1941.590467
-9.573361,50,1948.30274
-4.918701,50,1954.649768
-17.84141,50,1960.43648
-12.67295,50,1966.181001
-13.739801,50,1971.943437
-5.458482,50,1977.73138
-12.60233,50,1983.381738
-8.959624,50,1989.208287
-11.558808,50,1995.415676
-11.627016,50,2002.193362
-13.962309,50,2008.395653
-16.542268,50,2014.716277
-12.254994,50,2022.041426
-9.426597,50,2028.769018
-9.143318,50,2035.036889
-13.498431,50,2041.2921
-12.304783,50,2047.68018
-12.704627,50,2053.788768
-10.461036,50,2059.978065
-8.975464,50,2065.826073
-13.581107,50,2071.84244
-5.320076,50,2078.005437
-8.167126,50,2084.368382
-9.773139,50,2090.566288
-8.885908,50,2096.733217
-14.620262,50,2102.880036
-14.390911,50,2109.058215
-13.521673,50,2115.04606
-13.328715,50,2120.962016
-15.157262,50,2127.240517
-11.490422,50,2133.464789
-10.588115,50,2139.754761
-16.388692,50,2146.645767
-12.197839,50,2153.056813
-10.669484,50,2159.191413
-9.650989,50,2165.594078
-10.776061,50,2171.510862
-11.182194,50,2177.661714
-10.776163,50,2183.473867
-9.151949,50,2189.737052
