#{"t_start": 1777453782.6772127, "env_id": "Reacher-v5"}
r,l,t
-54.815453,50,82.744413
-58.673611,50,82.904135
-62.266705,50,91.465618
-48.837215,50,91.629264
-52.56357,50,91.788817
-57.056188,50,91.944864
-53.945062,50,92.106738
-58.945458,50,92.262605
-69.954576,50,92.408019
-56.32545,50,92.558261
-52.896294,50,92.720483
-52.561823,50,92.874086
-61.016955,50,93.037374
-65.248379,50,93.215685
-56.751909,50,93.405886
-58.173597,50,93.603647
-46.18764,50,93.806231
-53.173642,50,93.989722
-56.237953,50,94.166424
-57.792131,50,94.348252
-52.899932,50,94.516806
-57.602814,50,94.69838
-54.474096,50,94.879828
-60.832295,50,95.051697
-52.252401,50,95.239988
-59.120516,50,95.430814
-56.364869,50,95.588596
-57.193472,50,95.745317
-67.986962,50,95.902594
-54.37957,50,96.064976
-48.947203,50,96.219394
-59.867451,50,96.375507
-51.900988,50,96.528593
-58.201259,50,96.688166
-49.099228,50,96.849119
-58.693991,50,96.998215
-59.384383,50,97.153603
-58.399706,50,97.307647
-63.538747,50,97.478762
-51.242632,50,97.644492
-50.317456,50,97.800881
-59.52944,50,97.972817
-54.724598,50,98.136843
-55.511187,50,106.969577
-57.276981,50,107.131743
-56.208261,50,107.286152
-65.862722,50,107.438777
-55.307409,50,107.595895
-57.564812,50,107.7539
-55.192966,50,107.913951
-63.358314,50,108.101595
-54.443338,50,108.278373
-53.552278,50,108.433604
-64.2728,50,108.589763
-60.624193,50,108.752235
-60.703725,50,108.901838
-59.554248,50,109.063886
-64.236068,50,109.22419
-52.993131,50,109.380599
-56.739017,50,109.534703
-52.431954,50,109.70018
-57.620396,50,109.852247
-65.252879,50,110.00353
-56.743434,50,110.17982
-48.859387,50,110.351014
-58.958457,50,110.538909
-53.221214,50,110.72745
-52.009817,50,110.898298
-56.024376,50,111.06296
-61.449174,50,111.263726
-52.628858,50,111.426712
-56.08756,50,111.583131
-65.182437,50,111.752446
-50.813341,50,111.906977
-55.96177,50,112.066361
-55.464663,50,112.235152
-61.553845,50,112.404038
-46.879583,50,112.568213
-59.823323,50,112.729697
-57.042843,50,112.881782
-54.759528,50,113.03264
-57.697436,50,113.197426
-50.190972,50,113.352446
-47.91167,50,113.506972
-57.827612,50,122.148464
-65.634224,50,122.311386
-48.416959,50,122.470551
-55.073594,50,122.623064
-49.328643,50,122.782797
-53.817119,50,122.947002
-54.771445,50,123.116486
-60.17715,50,123.285635
-63.876817,50,123.447134
-54.286847,50,123.600422
-59.535697,50,123.762701
-51.047364,50,123.92057
-59.425159,50,124.077716
-57.181146,50,124.23847
-49.061427,50,124.393965
-52.066363,50,124.546703
-49.486736,50,124.703233
-59.630544,50,124.85486
-56.102582,50,125.01601
-56.300156,50,125.18951
-58.926941,50,125.35746
-56.750577,50,125.520076
-51.437668,50,125.67942
-55.318385,50,125.829852
-56.146322,50,125.990057
-53.999308,50,126.141922
-50.881928,50,126.300456
-56.445335,50,126.450574
-51.795636,50,126.604167
-57.397068,50,126.767826
-58.769607,50,126.918327
-58.649402,50,127.075876
-56.868736,50,127.243525
-48.879487,50,127.408062
-54.892032,50,127.571582
-50.35424,50,127.787812
-54.547888,50,127.988538
-56.541383,50,128.194291
-57.253759,50,128.386965
-54.842784,50,128.581094
-58.192007,50,128.762637
-63.718951,50,137.672905
-52.424703,50,137.834898
-56.768804,50,138.018844
-59.446831,50,138.188587
-50.096297,50,138.348743
-54.482811,50,138.509458
-53.327565,50,138.666632
-49.644213,50,138.821142
-57.257429,50,138.980979
-58.312516,50,139.129911
-58.455805,50,139.287026
-55.628594,50,139.442083
-56.157007,50,139.595133
-57.071414,50,139.760459
-57.139423,50,139.915289
-61.402292,50,140.083705
-46.184069,50,140.251565
-58.374686,50,140.409958
-53.608153,50,140.564229
-55.678289,50,140.722546
-63.446829,50,140.88373
-57.797469,50,141.034484
-51.126769,50,141.189634
-53.820252,50,141.35605
-55.109738,50,141.52307
-56.968167,50,141.698737
-50.721338,50,141.871117
-53.142526,50,142.048958
-62.217833,50,142.243801
-50.811556,50,142.43314
-54.924773,50,142.607648
-60.428514,50,142.790025
-60.591294,50,142.958109
-52.742017,50,143.133442
-54.024444,50,143.301031
-53.2313,50,143.488225
-55.204161,50,143.658718
-57.303107,50,143.829939
-57.260666,50,144.009654
-44.086746,50,144.185161
-55.023492,50,144.386741
-62.613175,50,153.240594
-50.712604,50,153.398273
-50.055721,50,153.558399
-57.120768,50,153.719275
-59.202589,50,153.87186
-53.77827,50,154.025594
-54.240923,50,154.184212
-55.567884,50,154.34054
-52.842631,50,154.493952
