#{"t_start": 1776854776.4428172, "env_id": "Reacher-v5"}
r,l,t
-10.234783,50,247.564882
-12.211196,50,248.686458
-12.055165,50,249.768154
-7.624141,50,250.823825
-10.062338,50,251.889267
-10.466264,50,252.978859
-16.413657,50,254.071455
-11.492126,50,255.161644
-18.605283,50,256.258714
-18.397422,50,257.338231
-10.606888,50,258.439909
-7.996662,50,259.501346
-11.721477,50,260.580742
-15.547917,50,261.646967
-11.154567,50,262.72572
-8.82368,50,263.798684
-12.266132,50,264.880557
-8.998967,50,265.972271
-12.167468,50,267.059523
-16.106044,50,268.133592
-8.959325,50,269.218282
-14.811993,50,270.304248
-15.176431,50,271.379503
-9.480285,50,272.466322
-13.487942,50,273.53923
-15.923209,50,274.650829
-19.755683,50,275.725849
-13.898522,50,276.810221
-20.928845,50,277.885966
-13.079464,50,278.983976
-10.656463,50,280.068424
-15.256955,50,281.141455
-11.316934,50,282.213723
-9.835044,50,283.292261
-11.960902,50,284.365804
-9.528686,50,285.457833
-13.86242,50,286.525954
-13.058838,50,287.610999
-11.194139,50,288.689462
-10.847307,50,289.779228
-13.131018,50,290.865746
-15.187684,50,291.921617
-11.471694,50,292.974463
-11.781854,50,294.027872
-11.131317,50,295.092174
-10.017745,50,296.174645
-13.816881,50,297.246788
-15.38301,50,298.306202
-13.07386,50,299.374214
-11.05928,50,300.430766
-17.411284,50,301.497551
-6.577558,50,302.553704
-17.952116,50,303.603925
-10.237636,50,304.714798
-9.73599,50,305.844768
-10.520656,50,306.959745
-16.386524,50,308.067545
-13.801234,50,309.188513
-7.871446,50,310.248273
-11.913155,50,311.264443
-8.594788,50,312.313776
-14.01406,50,313.333302
-16.144989,50,314.374995
-9.184469,50,315.389497
-12.252977,50,316.401133
-14.654464,50,317.417784
-14.460056,50,318.435731
-10.445999,50,319.464589
-13.466367,50,320.495605
-18.314622,50,321.516109
-12.570604,50,322.531584
-17.121748,50,323.552662
-5.729561,50,324.567557
-11.613019,50,325.587824
-5.140403,50,326.614672
-4.464389,50,327.623751
-11.626172,50,328.642069
-12.764815,50,329.658355
-8.867384,50,330.683503
-6.82147,50,331.699936
-12.799632,50,332.722545
-14.880518,50,333.760297
-13.021643,50,334.784859
-10.36967,50,335.793206
-6.899648,50,336.810171
-12.278661,50,337.829767
-12.046208,50,338.855196
-11.581922,50,339.85909
-9.125866,50,340.881373
-13.746083,50,341.896734
-13.141059,50,342.918008
-12.415531,50,343.935303
-14.819438,50,344.992552
-12.942344,50,346.024175
-11.758684,50,347.053491
-14.814134,50,348.068322
-16.065728,50,349.090883
-6.391346,50,350.113171
-12.39224,50,351.130847
-7.669707,50,352.129836
-10.460453,50,353.167221
-18.441774,50,354.191342
-12.04325,50,355.217935
-9.341137,50,356.227009
-9.374892,50,357.245652
-10.116527,50,358.259739
-7.865632,50,359.272575
-11.250534,50,360.287671
-12.247329,50,361.311292
-8.646084,50,362.330716
-9.522061,50,363.356341
-12.328172,50,364.37036
-9.337481,50,365.388667
-10.251593,50,366.407691
-13.078017,50,367.427475
-14.934602,50,368.474911
-19.623968,50,369.498863
-10.916623,50,370.517712
-8.552871,50,371.537832
-12.719097,50,372.554669
-16.661778,50,373.573979
-14.674678,50,374.600613
-11.024317,50,375.613087
-18.345156,50,376.629208
-7.262083,50,377.640332
-13.738504,50,378.656264
-16.193376,50,379.670171
-10.406073,50,380.674898
-17.103623,50,381.687102
-10.032264,50,382.700519
-8.82322,50,383.717445
-6.588219,50,384.730954
-15.557167,50,385.744654
-7.91984,50,386.770201
-16.744764,50,387.779806
-13.048776,50,388.79264
-8.688571,50,389.799924
-17.508053,50,390.842706
-4.547577,50,391.856011
-9.165501,50,392.876563
-10.601486,50,393.89068
-11.964529,50,394.914493
-13.598867,50,395.923723
-20.365868,50,396.942149
-12.037392,50,397.951859
-14.201846,50,398.968618
-13.336104,50,399.980443
-8.109209,50,401.003762
-12.991815,50,402.02051
-19.607674,50,403.045208
-7.561265,50,404.060641
-9.256145,50,405.071881
-9.152885,50,406.082356
-9.2268,50,407.104355
-9.539544,50,408.108122
-10.629421,50,409.118317
-9.387254,50,410.127412
-17.847329,50,411.159273
-16.766194,50,412.17206
-11.383505,50,413.188741
-16.131593,50,414.208206
-15.812271,50,415.229787
-11.138637,50,416.247844
-5.678035,50,417.269389
-11.634104,50,418.275743
-4.349009,50,419.295761
-17.932136,50,420.307244
-13.045365,50,421.325639
-14.551876,50,422.33981
-10.097112,50,423.364693
-12.658326,50,424.386559
-16.501346,50,425.404469
-9.52642,50,426.418954
-15.039843,50,427.441866
-19.585908,50,428.450912
-12.849924,50,429.469328
-15.606249,50,430.48504
-9.84801,50,431.519255
-15.790545,50,432.530652
-18.922501,50,433.55743
-16.275829,50,434.576721
