#{"t_start": 1776943639.6980085, "env_id": "Reacher-v5"}
r,l,t
-102.869023,50,599.483256
-107.963819,50,604.157837
-105.302064,50,608.642356
-108.966167,50,612.885087
-109.418484,50,617.200883
-106.97501,50,621.684685
-105.932895,50,626.4643
-105.315516,50,631.097551
-108.561782,50,635.428169
-107.442917,50,639.5729
-104.669331,50,643.938792
-105.636241,50,648.375194
-107.002813,50,652.646587
-108.517609,50,656.867774
-103.471115,50,661.228297
-107.066548,50,665.517225
-105.680463,50,669.893814
-104.973077,50,674.390358
-104.806256,50,678.741683
-108.063154,50,683.3748
-107.641661,50,688.038318
-108.05913,50,692.239549
-108.772041,50,696.728258
-106.691698,50,701.003767
-107.803593,50,705.055952
-108.645733,50,709.122938
-110.013938,50,713.407682
-106.534982,50,717.66589
-109.931413,50,722.125891
-108.146771,50,726.199403
-104.670567,50,730.36105
-107.974862,50,734.49204
-109.209747,50,738.516205
-106.102107,50,742.903682
-104.659409,50,747.100941
-106.913332,50,751.111188
-108.560294,50,755.241812
-108.406364,50,759.261472
-104.905333,50,763.535557
-103.871604,50,767.765402
-108.583135,50,771.935527
-110.779972,50,775.943561
-103.377792,50,780.120523
-102.403755,50,784.153751
-106.889536,50,788.232231
-105.925194,50,792.25613
-109.74406,50,796.279793
-108.800173,50,800.837311
-106.497485,50,805.810588
-105.594391,50,809.910504
-106.948542,50,813.916181
-106.410403,50,817.803812
-109.097165,50,821.845777
-109.132106,50,825.786146
-106.483399,50,829.752408
-108.352607,50,833.890563
-108.191164,50,838.053232
-107.758889,50,841.938016
-106.479339,50,845.866549
-106.546434,50,849.698264
-103.095899,50,853.630327
-107.294359,50,857.567895
-109.628653,50,861.493783
-103.944045,50,865.373101
-107.657303,50,869.342295
-110.571146,50,873.198776
-106.899226,50,877.292576
-108.644041,50,881.186507
-104.620506,50,885.13803
-110.009037,50,889.111347
-106.093093,50,893.019801
-109.121025,50,897.099691
-108.819188,50,901.499996
-105.580768,50,905.899634
-109.955746,50,909.838361
-109.068691,50,913.743836
-106.884646,50,917.561076
-109.33009,50,921.410635
-109.225112,50,925.393882
-108.710244,50,929.660905
-102.855962,50,933.548119
-107.865986,50,937.707307
-107.792203,50,941.623245
-103.695977,50,945.616761
-107.912142,50,949.664297
-108.649849,50,953.824228
-108.770382,50,957.979443
-106.298525,50,961.885016
-108.109318,50,965.960283
-105.309886,50,970.010905
-106.508861,50,974.269796
-105.585267,50,978.238784
-108.347533,50,982.085137
-110.589861,50,985.992733
-107.205156,50,989.95874
-106.062945,50,994.608357
-106.823172,50,998.806532
-109.42728,50,1002.993089
-103.512969,50,1006.983275
-108.506888,50,1011.014598
-105.095026,50,1015.070111
-109.338542,50,1019.200519
-104.96133,50,1023.971449
-104.847588,50,1028.248871
-106.447717,50,1032.41078
-107.861178,50,1036.622182
-105.23257,50,1040.957844
-105.604177,50,1045.068942
-108.202524,50,1049.196781
-103.611689,50,1053.340404
-103.124335,50,1057.587786
-103.388899,50,1061.782181
-105.096396,50,1065.810383
-107.248868,50,1069.917043
-108.432782,50,1073.912366
-106.766318,50,1078.017096
-109.26684,50,1082.028096
-102.220873,50,1086.303458
-109.669735,50,1090.525233
-108.277265,50,1094.628843
-110.28,50,1098.660685
-108.246775,50,1102.915197
-107.626463,50,1107.35058
