#{"t_start": 1777398036.4548461, "env_id": "None"}
r,l,t
-5.978301,100,1.907829
-9.114788,100,2.216271
-8.177445,100,2.524483
-6.992677,100,2.829763
-2.262499,100,3.157334
-4.248106,100,3.500677
-8.404956,100,3.813473
-3.600784,100,4.12882
-4.965265,100,4.436382
-1.907679,100,4.733621
-6.709691,100,5.045681
-3.616721,100,5.340026
-4.842944,100,5.653642
-2.777923,100,5.952717
-9.48332,100,6.248903
-9.001335,100,6.562102
-5.688464,100,6.861459
-9.260076,100,7.170398
-8.649978,100,7.469163
-8.214557,100,7.781744
-9.037651,100,10.231571
-4.401486,100,10.530279
-8.919447,100,10.84284
-7.919319,100,11.150943
-9.422601,100,11.457806
-6.406381,100,11.78286
-7.960413,100,12.094112
-5.188414,100,12.410074
-3.075624,100,12.729031
-4.678339,100,13.053912
-10.005377,100,13.384599
-8.398188,100,13.702913
-6.55764,100,14.034518
-7.187707,100,14.353139
-11.031399,100,14.677215
-9.40429,100,15.022094
-6.949716,100,15.360234
-7.817689,100,15.692325
-2.606495,100,16.033019
-7.300231,100,16.361184
-7.18083,100,18.73041
-3.04943,100,19.047077
-9.083429,100,19.370517
-8.065887,100,19.690401
-9.509607,100,20.002468
-6.796295,100,20.334436
-7.677351,100,20.650809
-8.254545,100,20.973493
-8.777807,100,21.30302
-6.253832,100,21.638751
-6.729466,100,21.962636
-9.621756,100,22.316536
-9.642568,100,22.640641
-10.334928,100,22.96822
-9.087436,100,23.296943
-8.322012,100,23.651264
-3.065676,100,23.988592
-8.088835,100,24.316108
-2.439632,100,24.66638
-4.56112,100,25.011481
-9.314845,100,25.358256
-5.73677,100,27.722033
-2.828088,100,28.025575
-9.393808,100,28.331995
-4.363776,100,28.648103
-6.044038,100,28.958084
-5.816802,100,29.276917
-8.774647,100,29.596139
-8.172277,100,29.935508
-9.311484,100,30.255678
-3.741532,100,30.586872
-5.678647,100,30.924903
-5.936045,100,31.263315
-8.014763,100,31.592426
-10.066121,100,31.906629
-6.421185,100,32.205923
-8.233884,100,32.505418
-7.499282,100,32.816707
-4.61356,100,33.120178
-9.055469,100,33.415056
-9.134821,100,33.709725
-11.31199,100,36.022198
-9.855755,100,36.330202
-4.964263,100,36.63707
-5.106353,100,36.94435
-9.537108,100,37.269327
-10.170579,100,37.580103
-5.914888,100,37.88922
-6.926164,100,38.225328
-4.671656,100,38.542278
-4.110892,100,38.863947
-8.420277,100,39.203308
-6.561505,100,39.526437
-5.209587,100,39.857388
-8.05853,100,40.200753
-9.971277,100,40.531683
-3.824801,100,40.864153
-6.223046,100,41.203828
-8.393499,100,41.549093
-8.590521,100,41.88305
-8.381406,100,42.227185
-7.932334,100,42.580368
-7.185999,100,44.919725
-3.41586,100,45.223059
-5.778705,100,45.539117
-9.078117,100,45.845441
-10.589447,100,46.161838
-3.388143,100,46.483925
-8.780439,100,46.814119
-11.41229,100,47.132638
-10.922979,100,47.452456
-7.292097,100,47.791679
-9.636079,100,48.116648
-9.892441,100,48.451623
-6.2263,100,48.796918
-6.314421,100,49.129101
